<DATE>	<TIME>	<OPEN>	<CLOSE>	<PRECO_ANT>
2022.02.08	09:00:00	5295.0	5296.5	5289.0
2022.02.09	09:00:00	5275.0	5277.5	5284.0
2022.02.10	09:00:00	5257.5	5255.5	5263.0
2022.02.11	09:00:00	5252.5	5255.5	5268.5
2022.02.15	09:00:00	5211.5	5212.5	5227.5
2022.02.17	09:00:00	5165.0	5160.0	5151.5
2022.02.18	09:00:00	5176.0	5173.5	5183.0
2022.02.21	09:00:00	5140.5	5142.5	5146.5
2022.02.22	09:00:00	5102.0	5100.5	5112.5
2022.02.23	09:00:00	5050.5	5048.5	5066.0
2022.02.24	09:05:00	5060.0	5060.0	5012.0
2022.02.25	09:00:00	5165.0	5170.0	5125.0
2022.03.02	13:00:00	5268.0	5266.0	5214.5
2022.03.03	09:00:00	5151.0	5154.0	5144.5
2022.03.04	09:00:00	5089.5	5074.5	5075.0
2022.03.07	09:00:00	5114.5	5128.0	5099.5
2022.03.08	09:00:00	5121.0	5115.5	5152.0
2022.03.09	09:00:00	5060.0	5054.5	5093.0
2022.03.10	09:00:00	5059.0	5056.0	5044.5
2022.03.11	09:00:00	5030.5	5022.5	5043.0
2022.03.14	09:00:00	5084.5	5088.0	5104.5
2022.03.15	09:00:00	5133.0	5134.5	5151.0
2022.03.16	09:00:00	5162.0	5164.5	5187.0
2022.03.18	09:00:00	5069.0	5071.0	5060.5
2022.03.23	09:00:00	4931.5	4932.5	4926.0
2022.03.25	09:00:00	4831.0	4821.5	4838.5
2022.03.29	09:00:00	4743.5	4730.0	4772.0
2022.03.31	09:01:00	4816.5	4817.5	4774.0
2022.04.01	09:00:00	4770.0	4768.0	4781.0
2022.04.07	09:00:00	4735.0	4731.0	4750.5
2022.04.08	09:00:00	4769.0	4775.0	4782.5
2022.04.11	09:00:00	4737.5	4740.5	4723.5
2022.04.12	09:02:00	4701.0	4706.0	4715.0
2022.04.13	09:00:00	4691.5	4690.5	4698.0
2022.04.18	09:00:00	4703.0	4706.5	4717.5
2022.04.19	09:00:00	4680.0	4681.5	4670.0
2022.04.20	09:00:00	4660.5	4661.5	4682.0
2022.04.22	09:00:00	4692.0	4692.0	4634.0
2022.04.25	09:00:00	4826.0	4835.5	4805.0
2022.04.26	09:00:00	4912.0	4913.5	4887.0
2022.04.27	09:00:00	4992.5	4997.5	5005.0
2022.04.28	09:00:00	4988.5	4992.0	4969.5
2022.04.29	09:00:00	4948.5	4961.0	4942.0
2022.05.02	09:00:00	5010.0	5011.5	5018.0
2022.05.03	09:00:00	5085.0	5085.0	5132.5
2022.05.04	09:00:00	5010.0	5010.0	5002.5
2022.05.05	09:00:00	4989.5	4993.5	4963.5
2022.05.06	09:00:00	5063.0	5066.0	5070.5
2022.05.09	09:00:00	5180.0	5181.5	5116.0
